date,resolutionnr,resolution,pagenr
1619-01-02 00:00:00,12," Op verzoek van de gedeputeerden van Friesland wordt niet geresolveerd op depretenties van Sommelsdijk (1618 no. 4073, 25).",6
1619-01-02 00:00:00,13," Op aanbeveling van de magistraat van Amsterdam dd. 14 dec. 1618 wordt eenrekest van Johan de Wale, Jan Babtista de Wale en Caspar Bosschart, koopliedenaldaar, aan Venetië gezonden 3 . Gevraagd wordt supplianten recht te laten wedervarentegen een zekere Abraham Berrewijns van Hamburg, woonachtig te Verona.",6
1619-01-02 00:00:00,14," Het College ter Admiraliteit te Amsterdam wordt gevraagd 3 of er aldaar eenschip gereed ligt om naar Constantinopel te varen.   De door Haga overgezonden concept-antwoorden op de door de chiaus overgebrach-te brieven worden gearresteerd. De brief aan de sultan zal in een goud lakens, die aan decahimacham Mehmet pasja in een rood satijnen zakje gestoken worden. b   Het traktement van de chiaus en zijn gevolg wordt met Jan van Houte overeengeko-men op 61 gld. per dag (1618 no. 4107, 36).",6
1619-01-03 00:00:00,15," De naar Oost-Friesland vertrekkende gecommitteerden laten vragen of het nietdienstig is enige oorlogsschepen op de Eems te leggen en enige compagnieën aan delandsgrenzen bijeen te brengen.   Besloten wordt dit aan de beoordeling van Maurits en Willem Lodewijk over te laten(3, 80).",6
1619-01-03 00:00:00,16," Het traktement van Thimote Enos, gewezen sergeant onder François Jacquesen thans appointé onder kap. Hollis, wordt voor eenjaar verlengd a.",6
1619-01-03 00:00:00,17, Het advies van de Raad van State van 17 febr. 1617 op het rekest van Henrisson-ne wordt gelezen. Overeenkomstig dit advies (liever de traktementen van de anderekolonels verlagen dan dat van Henrissonne verhogen) wordt het rekest afgewezen (8).,6
1619-01-03 00:00:00,18, Postbode Job Cornelisz. krijgt 12 gld. voor zijn nieuwjaar.,6
1619-01-03 00:00:00,19," Op het rekest van Moucheron besluiten H.H.M, bij hun vorige resolutie te blij-ven 3 (1618 no. 4082, 31).",6
1619-01-03 00:00:00,20, Het verzoek van Cornelis Vuyst om enige bijstand wordt afgewezen. De bijstanddie hij al gekregen heeft was er immers voor bestemd hem in staat te stellen te kunnenvertrekken 3 (1618 no. 2624).,6
1619-01-03 00:00:00,21," Dorth, Teylingen en De Jonge worden gecommitteerd om het rekest van VanStralen te onderzoeken (1618 no. 4070, 126).",6
1619-01-03 00:00:00,22," Jonker Diederich van Keppel krijgt brieven van voorschrijven 3 aan de keurvorstvan Keulen als bisschop van Münster, opdat zijn dochter in staat gesteld wordt haarprebende in het stift Arsbeke b te kunnen genieten.",6
1619-01-03 00:00:00,23," Het rekest van Hero ab Inthima, kanselier van de universiteit van Franeker,wordt in handen van de gecommitteerden naar Oost-Friesland gesteld (2514).",6
1619-01-03 00:00:00,24," Nieuwe klachten over het krijgsvolk van de Republiek, ingediend door residentSticke en door Johan van der Veken namens Philipp Sigismund, postulaat vanOsnabr�ck, worden gelezen en in handen van de Raad van State gesteld. Hij dient hier-in afdoende maatregelen te nemen (1618 no. 4087, 199).",7
1619-01-04 00:00:00,25," Gedelibereerd wordt over de pretenties van Fran�ois van Aerssen. Gezien hetfeit dat hij veel reizen heeft moeten maken om de Franse koning te kunnen volgen,zowel naar afgelegen provincies als in de omgeving van Parijs, en in aanmerking geno-men dat hij nooit bij het verlaten van zijn ambassadeursambt een verering heeft ontvan-gen, wordt besloten hem voor al zijn pretenties eenmaal 12.000 gld. toe te kennen. Deontvanger-generaal dient dit bedrag binnen het jaar uit te betalen 3 (12).",7
1619-01-04 00:00:00,26," Ontvangen een brief van de gezanten in Engeland, dd. Londen 27 dec. 1618 a(1618 no. 4063, 85).",7
1619-01-04 00:00:00,27," N.a.v. de van de koning van Denemarken ontvangen brief deelt pensionarisPauw mee wat Z.M. aan de gezanten heeft meegedeeld betreffende het dienst nemenvan onderdanen van de Republiek op Deense schepen, bestemd voor Oost-Indi�, enwat de gezanten daarop geantwoord hebben. Een door Pauw opgesteld concept-ant-woord 3 wordt goedgekeurd.   Aan Bewindhebbers van de V.O.C, te Amsterdam worden kopie�n toegezonden vande brief van de koning, het antwoord daarop en de twee destijds in Denemarken opge-stelde akten, met de opdracht zich hieraan te houden en de andere kamers ervan op dehoogte te stellen' (1618 no. 4103, 320, 653).",7
1619-01-04 00:00:00,28," Besloten wordt de brieven van de stenden van Bohemen overeenkomstig het uit-gebrachte advies te beantwoorden. Hopman Frenck zal aangezegd worden dat het demening van H.H.M, is dat de stenden alleen met advies van H.H.M, en andere belang-hebbenden over vrede mogen onderhandelen (9, 68).",7
1619-01-04 00:00:00,29, Grietgen Franssen uit Rotterdam krijgt brieven van voorschrijven aan Hagavoor de vrijlating van haar zoon Daniel Danielsz. en diens collega Andries Pauwelsz. a,7
1619-01-04 00:00:00,30," De Raad van State mag d�charges op de provincies dep�cheren voor de op 1 dec.1618 vervallen maand soldij voor de Franse regimenten en compagnie�n. Aan Utrechten Overijssel wordt verzocht hun achterstallen te betalen (1618 no. 3935, 86).",7
1619-01-04 00:00:00,31," Op het nadere rekest van Melchior de Moucheron wordt besloten dit af te wijzendaar de door hem uitgedachte verzekeringskamer niet uitvoerbaar is. Suppliant krijgtnog eenmaal 100 daalders"" (19).",7
1619-01-04 00:00:00,32," Op zijn nadere rekest wordt besloten ritmeester Meganck nog eenmaal 300 gld.toe te kennen (1618 no. 4021, 2339).",7
1619-01-04 00:00:00,33, Het verzoek van Willem van Dans om brieven van voorschrijven aan de koning,7
1619-01-04 00:00:00,34, Turfkruier Dierck Jansz. verzoekt betaling van het leveren van turf aan de bui-tengewone wachten bij de gevangenen.   Hij dient zich te wenden tot de Staten van Holland;'.,8
1619-01-04 00:00:00,35," Philibert du Bois verzoekt uitbetaling van de beide verschenen jaren van de pille-gift van Juliana, landgravin van Hessen.   Het rekest wordt in handen van de Raad van State gesteld. Hij dient de Groningsegedeputeerden voor zich te ontbieden, hun te vragen waarom de betaling geweigerdwordt en hen er toe te bewegen dat de betaling alsnog plaatsvindt. De Friese gedepu-teerden mogen eventueel mede gehoord worden (1618 no. 3961, 1966).",8
1619-01-04 00:00:00,36," Aan Haga zullen kopie�n van de aan de chiaus mee te geven antwoorden gezon-den worden. Hij dient er bij de sultan op aan te dringen dat de capitulaties niet alleenvernieuwd maar ook uitgebreid worden, dat de in Turkse gevangenschap verkerendeonderdanen van de Republiek vrijgelaten worden en dat de zeeroverijen door de Alge-rijnen en Tunesiers gestaakt worden. De Republiek zal de capitulaties strikt nakomen.De tegen de Algerijnen gerichte onderneming was uit defensief oogmerk opgezet. Hagazal nog bericht worden hoe de chiaus hier ontvangen en gedefroyeerd is (14, 38).",8
1619-01-05 00:00:00,37," Op voorstel van Muys wordt besloten de geciteerde Remonstranten op kostenvan de Generaliteit eenzelfde traktement te geven als de andere gedeputeerden naar deSynode krijgen (2, 51).",8
1619-01-05 00:00:00,38," Gecommitteerde Raden ter Admiraliteit te Amsterdam schrijven dd. 3 jan. a datnoch aldaar noch daar in de buurt een schip gereed ligt om naar Constantinopel tevaren.   Aan de Admiraliteitscolleges (uitgezonderd Dokkum) wordt geschrevenb per om-gaande te berichten of er schepen met bestemming Marseille, Veneti� of Cyprus gereedliggen. Dit om de kosten voor het land te verlichten.   De onkostendeclaratie van Pieter Morijns voor het verblijf van de chiaus, belopend",8
1619-01-05 00:00:00,1,"930 gld., wordt voor onderzoek in handen van Magnus en Pauw gesteld, met de op-dracht het land voor te hoge uitgaven te behoeden (36, 47).",8
1619-01-05 00:00:00,39," Ontvangen een brief van Brederode, dd. Heidelberg 22 dec. 1618a.",8
1619-01-05 00:00:00,40," Willem Nicolai, ontvanger van de geestelijke goederen te Bergen op Zoom. be-richt dd. 10 dec. 1618 n.a.v. de overdracht van de kanunniksprebende van Dionijs vanElshout aan Charles van Hattem, dat dergelijke prebenden nog niet eerder zijn geresig-neerd of door H.H.M, geapprobeerd.   Besloten wordt de vorige goedkeuringen van de collaties van prebenden, toekomendaan de markiezen van Bergen op Zoom, op te zoeken (1618 no. 2532, 1110).",8
1619-01-05 00:00:00,41," Ridderschap en ge�rfden van Drente schrijven dd. Assen 18 dec. 1618 a over eenproces, dat Jan van den Bosch c.s. uit Coevorden voor Caspar van Ewsum, drost vanDrente, gehad hebben tegen burgemeesters en het grootste deel van de burgerij vanCoevorden, die eigen ,,soltsteden"" hebben. Laatstgenoemden hebben het procesgewonnen, maar eerstgenoemden gaan in app�l bij H.H.M. Verzocht wordt de Land-schap in haar privileges te handhaven en deze zaak te renvoyeren.   Besloten wordt dit te laten rusten totdat provisie van mandement d'appel verzochtwordt (1618 no. 3726, 165).",9
1619-01-05 00:00:00,42," Op het rekest van Johanna Fobs, weduwe van Jacob van Chantraine dietBroucksault, kapitein van een compagnie voetvolk, wordt besloten haar zoon Philips,gezien de vele door zijn vader bewezen diensten, een soldatentraktement te geven van 12 gld. per maand van 42 dagen onder de compagnie van zijn vader a .",9
1619-01-05 00:00:00,43," Gelezen worden een brief van Jacobus I, dd. Westminster 9 okt. 1618, ten gunstevan Fran�ois Hindersonne, een rekest van Hindersonne waarin hij om pardon verzoektvoor de doodslag, begaan op Sweer Adriaensz., en de akte van verzoening met de vrien-den van de dode. Aan de Raad van State, waaraan de stukken ter hand gesteld worden,wordt advies gevraagd (99).",9
1619-01-05 00:00:00,44," De declaratie van burgemeesters en schepenen van het Vrije voor het bezoekenvan de limieten in Vlaanderen, ten bedrage van 336 pd., 18 schell., 4 penn., wordt goed- �gekeurd. Fran�ois van Belle wordt gelast dit bedrag uit zijn ontvangsten te betalen a .",9
1619-01-05 00:00:00,45," Na daartoe uitgenodigd te zijn compareren Mr. Simon Stevin, WillebrordusSnellius, Samuel Marlois en Jan Pietersz. Dou, die hun rapport over de uitvinding vanJarichs, getest door de stuurlieden Joris Carolus uit Enkhuizen, Caspar van Donderenuit Dokkum, Cornelis Jansz. van Amsterdam, Arent Jansz. van Rotterdam, Jan Jansz.van Enkhuizen en Deonijs Jansz. van Middelburg, presenteren. In aanwezigheid vanJarich wordt het rapport gelezen"": het eerste deel van de uitvinding, betreffende het,,passen opte zeecaerten"", brengt nauwelijks verbeteringen. Met name de beweging vande zee maakt goede metingen onmogelijk. De reis is wel nuttig geweest voor de stuurlie-den, die hebben kunnen bemerken wat voor verschillende methoden en uitkomsten erzijn bij het berekenen van de lengtegraden. Het tweede deel van de uitvinding, de doorJarichs uitgegeven kaartjes en doorschijnend papier voor het tekenen en passen, is zeernuttig.  Op dit rapport zal nader gelet worden. Aan de gecommitteerden tot dit besogne. San-ten, Magnus en Nanning, wordt verzocht te willen bewerkstelligen dat de stuurliedenmet de minste kosten voor het land uit de herberg verdwijnen11 (1618 no. 4099, 52,2633).",9
1619-01-07 00:00:00,46," Brieven worden gelezen van:  a. Langerack, dd. Parijs 28 dec. 1618 en 1 jan."". H.H.M, zouden aan Jacobus I de vande gevangenen verkregen inlichtingen gezonden hebben om diens advies daarop te ver-nemen. Lodewijk XIII is hierover misnoegd. Geantwoord wordt dat dit bericht onwaarte*   b. Haga, dd. Constantinopel 20 okt. 1618�.",10
1619-01-07 00:00:00,47," Gecommitteerde Raden ter Admiraliteit te Rotterdam schrijven dd. 6 jan. dat eraldaar alleen schepen voor Genua en Livorno gereed liggen 3 (38, 104).",10
1619-01-07 00:00:00,48, Op aanbeveling van de magistraat van Amsterdam dd. 4 jan. krijgen Abrahamde Praat en andere kooplieden aldaar brieven van voorschrijven aan de admiraal vanFrankrijk voor de teruggave van hun door een Franse zeerover afgenomen goederen.,10
1619-01-07 00:00:00,49," Jacob Pietersz., schipper te Schiedam, verzoekt brieven van voorschrijven aanJacobus I. Zijn schip de Hoope. geladen met 350 kisten suiker en 804 realen van achten,is door een Engelse zeerover opgebracht naar Ierland. Hij wil Z.M. verzoeken de goe-verneur van Schellings a opdracht te geven zijn schip en goederen vrij te geven.   Het rekest wordt aan de gezanten in Engeland gezonden teneinde suppliant behulp-zaam te kunnen zijn b",10
1619-01-07 00:00:00,50," Ontvangen twee brieven van Wijnant de Keyser, dd. Algiers 10 en 15 okt. 1618'',en een brief van de pasja aldaar b , allen expres overgebracht door de neef van De Keyser.De pasja schijnt, met vergeting van alles wat er gebeurd is, een nieuw vredesverdragvoor te stellen. Hierop, en op de betaling van de bijgevoegde rekeningen, verzoekt DeKeyser te resolveren (418).   Maurits wordt advies gevraagd. De rekeningen zullen zo opgesteld worden dat mener wijs uit kan worden""' (93).",10
1619-01-07 00:00:00,51," Muys deelt de inhoud van een door hem van Heinsius ontvangen brief mee. DeRemonstranten volharden in hun ongehoorzaamheid. De Synode gaat echter met haarhoofdzaken verder (37, 63).",10
1619-01-07 00:00:00,52," Magnus en Nanning rapporteren dat de rekening van de onkosten van de stuur-lieden, die de uitvinding van Jarichs getest hebben, over de periode 4 dec. 1618-6 jan.1619 742 Kar. gld., 4 st. bedraagt. Besloten wordt ordonnantie te dep�cheren op hetCollege ter Admiraliteit te Rotterdam.",10
1619-01-07 00:00:00,53," Voor deze keer wordt besloten alle gedeputeerden van het voorgaande jaar, zo-wel de ordinaris als extraordinaris. te vereren met de gebruikelijke zilveren legpenning(264).",11
1619-01-08 00:00:00,54, De hertogin van Bouillon schrijft dd. Sedan 1 jan. dat de hertog van Tr�mouillehaar om de hand van haar dochter heeft gevraagd 3 .,11
1619-01-08 00:00:00,55," Een rekest van Michiel Eustace, distillateur van de koning van Frankrijk, wordtvoor advies aan Gecommitteerde Raden van Zeeland gezonden' 1 . Een zekere kap. Banc-ker gezegd Wittebolle uit Middelburg zou een schip van Jacques le Liepvre uit Hon-fleur, waarin suppliant medereder was, veroverd hebben (1618 no. 2417, 487).",11
1619-01-08 00:00:00,56," Pieter Courten, koopman te Middelburg, geeft te kennen dat zijn schipper Lo-gier Jaspersz. op de hoogte van 76-80 graden, 6 minuten, een nieuw land ontdekt heeft,waaraan door hem de naam Nyeuw Seelandt gegeven is. Hij verzoekt uitvoering van hetoctrooi van 27 maart 1614.   Hierna wordt het rapport van Jaspersz. aangehoord. Besloten wordt suppliant eenakte van diligentie te geven en later te resolveren.",11
1619-01-08 00:00:00,57," De griffier wordt gemachtigd met de nieuwe bode van Den Haag op Engeland teonderhandelen over de port van de brieven van de Generaliteit. Expreszendingen, diealleen op last van H.H.M, verricht zullen mogen worden, dienen naar redelijkheid be-taald te worden.",11
1619-01-08 00:00:00,58," Jan Clerck, Engels koopman te Duinkerken, is weer van plan 3 � 4 schepen uit terusten naar het eiland, door zijn schepen in 1614 ontdekt, om daar walvissen te vangenen traan te koken. Hij verzoekt gevrijwaard te worden van overlast door de NoordseCompagnie.   De Compagnie wordt gelast binnen acht dagen haar mening over dit rekest te geven(1618 no. 3968, 254).",11
1619-01-08 00:00:00,59," Een verzoek van Margaretha le Masse, weduwe van kap. Ghissenburch gezegdWena, om een pensioen of traktement overeenkomstig haar hoedanigheid, wordt we-gens de consequenties afgewezen.",11
1619-01-08 00:00:00,60, Een rekest van Hendrick Borremans over muntzaken wordt voor advies in han-den van generaalmeester Beveren gesteld.,11
1619-01-08 00:00:00,61," Voor de declaraties van Gerrit Jacob Witsz. en Sijbrant Willemsz.'' Groes uitEnkhuizen, gecommitteerd om het bij het ,,Vogelesant"" in de Texelse Stroom gezonkenFranse schip te lichten, ten bedrage van 1.200 en 4.000 gld., worden ordonnantiesgedep�cheerd op de Admiralitei ten te Amsterdam en te Hoorn of Enkhuizen b ( 1618 no.3932, 95).",11
1619-01-09 00:00:00,62," De gecommitteerden tot het muntbesogne, De Bie en de generaalmeesters van deMunt brengen gezamenlijk rapport uit.Dit rapport"" en een concept-plakkaat wordenook schriftelijk ingediend met het verzoek zo spoedig mogelijk erop te resolveren (1618no. 3952, 67).",12
1619-01-09 00:00:00,63," Ontvangen een brief van de geciteerde Remonstranten, dd. Dordrecht 3 jan. a ,met enige bijbehorende stukken. Na rondvraag wordt besloten aan de commissarissen-politiek advies te vragen.   Praeses Bogerman heeft zoveel onkosten (voortvloeiend o.a. uit bezoeken) te dragendat hij aan zijn gewone traktement niet voldoende heeft. Aan de commissarissen wordtgeschreven dat zij hem 3 � 400 gld. dienen te verstrekken 11 (51, 111, 563).",12
1619-01-09 00:00:00,64," Brieven worden gelezen van: a. Langerack, dd. Parijs 21 dec. 1618. Hij krijgt de door hem gevraagde kopie�n vande tussen Frankrijk en de Staten-Generaal gesloten traktaten en contracten.",12
1619-01-09 00:00:00,65," Een rekest van overste en ritmeester Schmelzinck (verzoek tot terugbetaling van513 gld., in 's lands dienst voorgeschoten) wordt in handen van de Raad van Stategesteld.",12
1619-01-09 00:00:00,66," Aan de gecommitteerden in de zaak van de gevangenen wordt overgelaten aan deadelborsten, die de gevangenen bewaken, een nieuwjaarsgift van 6 of 12 gld. te geven.Het verzoek van de trommelslagers om een nieuwjaarsgift wordt afgewezen 3 (10).",12
1619-01-09 00:00:00,67," De provincies hebben kopie�n verzocht van het muntbesogne. De meerderheidvan de provincies is echter van mening dat een einde gemaakt moet worden aan hetkoersverloop van het geld (62, 77).",12
1619-01-09 00:00:00,68," Het antwoord op de propositie van Frenck wordt als volgt vastgesteld 3 : H.H.M,danken God dat Hij de stenden van Bohemen zo gesterkt en gezegend heeft dat zij hunvijanden tot de grenzen van hun land hebben teruggeslagen. Als de stenden op hunhoede zijn voor valse vredesaanbiedingen zullen zij ongetwijfeld een goed resultaat we-ten te verkrijgen. Zij verklaren ,,dese saecke even deselve als de onse te wesen"". Daaromhebben H.H.M. Frencks verzoek aan de provincies aanbevolen en op verzoek van destenden aan hun ambassadeur in Engeland en agent bij de Hanzesteden geschreven destenden behulpzaam te zijn. De stenden dienen te overwegen dat het feit dat het legervan de Republiek zoveel krijgsvolk van de vijand aan haar grenzen bindt gunstig voorhen is. H.H.M, vertrouwen erop dat de stenden in hun rechtvaardige defensieve hou-ding zullen volharden. Zij op hun beurt zullen alle mogelijke bijstand geven.   De gecommitteerden tot dit besogne wordt verzocht de instructie voor hetgeenFrenck bij zijn terugkeer aan de stenden moet overbrengen, op te stellen (28, 76).",12
1619-01-09 00:00:00,69," Willem Lodewijk laat een door hem van de graaf van Solms ontvangen briefmeedelen. De brief, dd. Heidelberg 29 dec. 1618, bevat berichten uit Bohemen.",13
1619-01-09 00:00:00,70," Ontvangen een brief van Aitzema, dd. L�beck 15 dec. 1618 a .",13
1619-01-09 00:00:00,71," Het verzoek van Jacques Woedt, Schots soldaat onder Chastillon, om enige bij-stand om te kunnen vertrekken wordt afgewezen.",13
1619-01-09 00:00:00,72," Het verzoek van Joris Carolus wordt in handen van Gecommitteerde Raden terAdmiraliteit te Rotterdam gesteld. Suppliant dient betaald te worden als de anderetesters van de uitvinding van Jarich a (52, 92, 119).",13
1619-01-09 00:00:00,73," Een rekest van Petrus Bertius, hoogleraar in de theologie te Leiden, contra Jodo-cus Hondius te Amsterdam wordt in handen van laatstgenoemde gesteld a .",13
1619-01-09 00:00:00,74, Op het rekest van jonker Johan Vijgh (betaling van de door hem voorgeschotenextraordinaris onkosten van het garnizoen te Tiel ten bedrage van 600 gld.) wordt ad-vies gevraagd aan de Raad van State (284).,13
1619-01-09 00:00:00,75, Op het rekest van Gomes van Trier wordt advies gevraagd aan de Admiraliteit teAmsterdam (198).,13
1619-01-09 00:00:00,76," De Jonge en Schaffer rapporteren dat zij het concept-antwoord op de propositievan Frenck aan Willem Lodewijk meegedeeld hebben. Daar deze enige bedenkingenhad wordt besloten de vaststelling van het antwoord uit te stellen tot de terugkomst vanMaurits a (68, 93).",13
1619-01-09 00:00:00,77," Ter vergadering compareren de generaalmeesters van de Munt. Zij overhandi-gen een nader advies op het tegengaan van de stijging van de geldkoers a . De provinciesverzoeken een kopie (67, 124).",13
1619-01-09 00:00:00,78," De gedeputeerden van Holland delen de redenen mee waarom Godefroy Bootop de Voorpoort in Den Haag in arrest gesteld is. Als convooimeester te Gorinchem ishij het land nog meer dan 8.000 gld. schuldig. Zij hebben deze redenen ook aan Carletonmeegedeeld en verzoeken H.H.M, de gezanten in Engeland op de hoogte te brengen,zodat eventuele misverstanden voorkomen kunnen worden.   H.H.M, gaan hiermee accoord 3 . Rapporteurs wordt verzocht genoemde redenen opschrift te zetten (1618 no. 4068).",13
1619-01-12 00:00:00,79," Op het verzoek van Guillaume de Bonaide om bij stand wordt besloten na te gaanwat hij de laatste keer heeft gekregen"".",13
1619-01-12 00:00:00,80, Hopman Willem Coenders schrijft dd. Leerort 23 dec. 1618 o.s. dat de graaf vanRietberg in Oost-Friesland is aangekomen en dat graaf Christoffel aldaar nog verwachtwordt. Hij vraagt een versterking van twee of drie vendels.,13
1619-01-12 00:00:00,81," Genoemde gedeputeerden zullen ook het advies van Z.Ex. vragen op het voorstelvan Langerack een oorlogsschip van de Republiek ligplaats te laten nemen bij het Ile deR�, om zo de toegang tot La Rochelle en andere havens voor de zeerovers af te sluiten(93).",14
1619-01-12 00:00:00,82," Volgens de uitgebrachte adviezen dient de griffier een antwoord op te stellen opde proposities van de agent van de hertog van Brunswijk a .Zijn resideren is H.H.M.aangenaam en zij zullen hem ten allen tijde in audi�ntie ontvangen (11, 130).",14
1619-01-12 00:00:00,83," Vooght, De Jonge en Schaffer wordt verzocht Maurits bij zijn terugkeer uit Utrecht te verwelkomen en hem te bedanken voor de goede diensten die hij ter verzeke-ring van die provincie verricht heeft (93).",14
1619-01-12 00:00:00,84," Huybrecht Schanternel uit Amsterdam krijgt, mede voor zijn zusters en broerElisabeth Agnes, Susanna Catharina en Johannes, brieven van voorschrijven 3 aan deraad van Aken opdat de hun aanbestorven goederen van hun moeder Maria Kip nietgeconfiskeerd worden wegens de schuld van hun vader Adam Schanternel.",14
